ab_depth_reached,ab_instability,ab_pruning_rate,ab_ranking_correlation,ab_reach_depth,ab_root_eval_std,best_move_margin,branch_mean_spread,branch_top2_gap,branch_value_skew,branching_mean_d2,branching_mean_d4,budget_coverage,depth,depth_chance_inter,depth_deficit,depth_deficit_rel,exact_second_best_value,heur_incoherence,leaf_density,leaf_depth_std,leaf_value_range,leaf_value_std_d3,leaf_value_std_d5,mcts_best_value_estimate,mcts_unanimous,mcts_visit_entropy,mcts_vote_margin,node_budget,node_count_d4,total_internal_nodes,total_min_nodes,total_nodes,which_algo,which_algo_enc,which_better,which_better_enc,is_tie,ab_correct,mcts_correct,mcts_correct_rate,is_contested,margin_category,margin_category_enc,tree_difficulty,tree_difficulty_enc,delta,ab_regret,mcts_regret
1,0.0,0.0,0.8727272727272727,1.301029995663981,0.8155659175480966,0.0167511487861837,0.5468780733921311,0.0167511487861836,-0.8527246208084188,0.0,0.0,0.1851851851851851,2,1.1977790707011209,0.698970004336019,0.3494850021680095,0.9620439369786852,0.3329945250000399,0.8981481481481481,0.1010098863003372,1.999257706902998,0.0,0.0,-0.8853420176094077,1,2.3978952727983707,0.0,20,0,11,1,108,AB,0,AB,0,0,1,0,0.0,1,low,0,medium,1,1.97847959745262,0.0,1.97847959745262
1,0.0,0.0,0.8833333333333332,1.3617278360175928,0.5012491065063536,0.4516613399676529,0.3968135800765185,0.0268527407077966,0.2811608833085083,9.877777777777778,0.0,0.0231155778894472,3,0.2742297752114007,1.6382721639824072,0.546090721327469,-0.3400979614812946,0.472663982051936,0.8994974874371859,0.0816025011687607,1.975137883007133,0.5988694402785834,0.0,0.1549444171567937,1,2.079441541679836,0.0,23,0,100,9,995,AB,0,AB,0,0,1,0,0.0,0,high,2,medium,1,0.4985472799557363,0.0,0.4985472799557363
2,1.0,0.0,0.3999999999999999,1.9205726604783715,0.1677183921091548,0.586862938226605,0.2615941351659803,0.2596731704633248,-0.4335129598992299,4.25,4.418478260869565,0.0203139427516158,5,0.0,3.0794273395216285,0.6158854679043257,-0.6039929633286273,0.3221429907255264,0.7737765466297323,0.2773327198414568,1.9221905006847224,0.4659275752638503,0.5687231260267254,0.3004677545652456,0,1.2992026683574325,0.1333333333333333,22,201,245,48,1083,MCTS,2,MCTS,1,0,0,1,0.6,0,high,2,medium,1,-0.274708190760396,0.586862938226605,0.3121547474662089
1,0.0,0.0,0.4285714285714285,1.5395018495629604,0.4028186990418657,0.1122127535420753,0.2127074730104018,0.0459493105499212,-0.608061040865638,6.634146341463414,0.0,0.0619195046439628,3,2.435415112729,1.4604981504370396,0.4868327168123465,-0.3007287524506637,0.4246767064279327,0.8513931888544891,0.1469918758647835,1.94571582500923,0.5310961089747832,0.0,0.2119763242612862,1,1.9061547465398492,0.125,20,0,48,3,323,Neither,3,AB,0,0,0,0,0.0,0,medium,1,hard,2,0.0933310980450681,0.1252088390110347,0.2185399370561028
1,0.0,0.0,0.7575757575757576,1.462397997898956,0.2449722649439792,0.4106118372251626,0.2731812765104524,0.1373455852526999,0.1039077456960975,0.0,0.0,0.2710280373831775,2,0.4408053368462572,0.5376020021010439,0.2688010010505219,-0.7890882916606952,0.2460201487350508,0.9065420560747663,0.1010098863003372,1.4649710779022374,0.0,0.0,-0.2165941388573252,1,2.233106531428652,0.0125,29,0,10,8,107,Neither,3,AB,0,0,0,0,0.0,0,high,2,hard,2,0.0220078667115426,0.4106118372251626,0.4326197039367052
2,1.0,0.1008403361344537,-0.0857142857142857,2.9641930189469203,0.2585368428455802,0.1523914186197607,0.1412921620814599,0.0891495970843132,-0.9684079821700752,5.5,5.266778523489933,0.0298582995951417,5,1.3643645012699115,2.03580698105308,0.4071613962106159,0.4194983371753069,0.2299376837808466,0.8104757085020243,0.1998287731573726,1.879595791213255,0.1434357103982039,0.4474881737462438,0.4567804916407914,0,1.7434646145599375,0.0605042639970337,118,647,749,91,3952,Neither,3,MCTS,1,0,0,0,0.4,0,medium,1,hard,2,-0.001878204368046,0.1523914186197607,0.1505132142517146
2,1.0,0.0665024630541872,0.8131868131868132,2.340742927200882,0.4588421555883378,0.1997263208245733,0.34713443761424,0.2273770731257729,0.0874668733483293,12.61038961038961,0.0,0.1907677814413565,3,0.0,0.659257072799118,0.219752357599706,0.7759468967915498,0.5702725953637672,0.9208666980687706,0.0812736056197894,1.9979817376356512,0.6556621142033414,0.0,0.8778468231540042,1,2.2652053609069736,0.1722343864039203,405,0,168,13,2123,Both,1,Tie,2,1,1,1,1.0,0,medium,1,easy,0,0.0,0.0,0.0
4,0.6666666666666666,0.1216848673946957,0.8285714285714286,3.993502713274064,0.3840116667676628,0.4083910619170202,0.2363046139454057,0.07295446976011,-0.6535383141888237,5.838709677419355,6.265047518479409,0.1783129175946547,5,2.5685575943113403,1.0064972867259363,0.2012994573451872,0.2217325041473829,0.2216763546552715,0.83978285077951,0.1661635938971018,1.9792952342633607,0.5468248856157217,0.5547459108883263,0.549972721793271,1,1.3007536312229402,0.4588839953169814,1281,1029,1151,83,7184,Both,1,Tie,2,1,1,1,1.0,0,high,2,easy,0,0.0,0.0,0.0
6,0.8,0.2169076751946607,0.9999999999999998,6.189781543902362,0.2408797142058296,0.3148089956619877,0.2742267380934629,0.4201084792806964,0.3115317963290831,2.857142857142857,2.784313725490196,0.2241078113301721,8,2.3291655467093175,1.8102184560976375,0.2262773070122047,0.2490708585767193,0.2403369753484926,0.642375842276017,0.3967243389262812,1.998930236155125,0.0,0.4456555941464974,0.4458070954801789,1,0.7721149104793029,0.4691228355124839,898,54,1433,732,4007,Both,1,Tie,2,1,1,1,1.0,0,medium,1,easy,0,0.0,0.0,0.0
2,1.0,0.0403225806451612,0.0,2.3141715017797466,0.1305711915621845,0.123472651880854,0.2464305841543539,0.145361740140587,-0.8505126419189316,7.7,0.0,0.0644654088050314,4,3.2069282298753192,1.6858284982202534,0.4214571245550633,-0.0855196662719869,0.2525253114429498,0.8731656184486373,0.1480063552690188,1.9994394964801512,0.6039793531730142,0.0,-0.1532308859932465,0,1.5358458147041247,0.0460690943043884,123,1640,242,34,1908,Neither,3,AB,0,0,0,0,0.2,0,medium,1,hard,2,0.040803935796613,0.123472651880854,0.164276587677467
4,0.0,0.1472995090016366,0.9999999999999998,3.984906101452336,0.7974217028105343,0.9298165975346184,0.2541062468092251,0.2288523911076009,-0.1144450216836855,5.047619047619048,4.974056603773585,0.0496298104303962,6,1.3288293572857963,2.015093898547664,0.3358489830912772,-0.2087449609787648,0.3292200833739453,0.7979009030998292,0.2071793177963272,1.9999969016764771,0.7019296865501498,0.7137619694385865,0.6477345979040712,0,1.027216884210674,0.3600227778019966,610,462,2484,1603,12291,Both,1,AB,0,0,1,1,0.8,0,high,2,easy,0,0.1859633195069236,0.0,0.1859633195069236
1,0.0,0.0,0.6964285714285714,1.1351524045863497,0.4237763893859521,0.0097318490118565,0.3872443049374031,0.0097318490118564,-1.3888699814642944,0.0,0.0,0.0938967136150234,2,0.9226572965901428,0.8648475954136505,0.4324237977068252,0.9863195529251072,0.3599573773383028,0.9295774647887324,0.0708872164021121,1.9724539771051868,0.0,0.0,0.067555672133603,1,2.3978952727983707,0.0,20,0,15,8,213,AB,0,AB,0,0,1,0,0.0,1,low,0,medium,1,1.968514941886362,0.0,1.968514941886362
